"Date","Predicted","Actual","Upper","Lower","RMSE"
1999-05-01,-11.3078031517934,-4.5803686968187,-9.85214208029476,-12.7246090159086,6.72743445497471
1999-06-01,-11.0226617948996,-4.33369527184962,-9.62078720881956,-12.4449345081283,6.68896652304994
1999-07-01,-12.1085816816223,-4.59163368629911,-10.6235481319725,-13.5595792251667,7.51694799532321
1999-08-01,-10.8040800349554,-3.47209201276807,-9.3981436236148,-12.2055442560171,7.33198802218735
1999-09-01,-10.3800473353499,-3.02749587804969,-9.0323425781772,-11.7510679430677,7.35255145730016
1999-10-01,-9.82786330186147,-2.66476233547841,-8.48628296952626,-11.1383851975308,7.16310096638306
1999-11-01,-11.5812976957563,-3.13156393685364,-10.1866976703518,-12.9937409570823,8.44973375890267
1999-12-01,-12.2210641728152,-3.16992645492845,-10.7250684919246,-13.6911626471508,9.05113771788673
2000-01-01,-11.8757993639058,-3.03223938877083,-10.4669089061719,-13.3253364679878,8.84355997513499
2000-02-01,-12.1460786217535,-3.0194094269186,-10.7067704257803,-13.5236068949086,9.12666919483494
2000-03-01,-12.792550094949,-2.79436462995651,-11.3345095333495,-14.2459576466111,9.99818546499246
2000-04-01,-12.984272222533,-2.55326189447416,-11.4085788918016,-14.5235923912982,10.4310103280589
2000-05-01,-11.8838229306304,-2.85905450788018,-10.4063245867226,-13.3683446014826,9.02476842275027
2000-06-01,-12.3520651720625,-3.44988684323144,-10.8874767699559,-13.8671125331581,8.90217832883105
2000-07-01,-12.2777588939235,-3.52650213971153,-10.7839374562517,-13.7264076230193,8.75125675421196
2000-08-01,-12.265829763354,-3.5469471616876,-10.8228752357094,-13.6884573131783,8.71888260166637
2000-09-01,-11.5672687199652,-3.07667117128989,-10.1862600882061,-12.9944447140632,8.49059754867534
2000-10-01,-9.92323416201501,-2.11431941942695,-8.58729358817217,-11.2449161871567,7.80891474258806
2000-11-01,-9.50159586354303,-1.795437761899,-8.17790180162537,-10.8150850831936,7.70615810164403
